"Page","URL_full","og.title","Pageviews","Unique.Pageviews","Avg..Time.on.Page","Entrances","Bounce.Rate","X..Exit","Page.Value","Meta","pub_time"
"25","/issue/322/article/when-muslims-and-christians-marry","http://americamagazine.org/issue/322/article/when-muslims-and-christians-marry",NA,"2,926","2,758","0:11:43","2,752","90.75%","93.98%","$0.00","When Muslims and Christians Marry","2001-09-10T00:00:00-04:00"
"26","/issue/top-ten-takeaways-amoris-laetitia","http://americamagazine.org/issue/top-ten-takeaways-amoris-laetitia",NA,"2,838","2,313","0:04:09","2,187","83.55%","75.69%","$0.00","Top 10 takeaways from “Amoris Laetitia”","2016-04-08T06:00:05-04:00"
"27","/content/all-things/bob-dylans-churches","http://americamagazine.org/content/all-things/bob-dylans-churches",NA,"2,794","2,605","0:11:09","2,326","60.43%","84.65%","$0.00","Bob Dylan's Church(es): Travels in the North Country fair","2016-06-24T15:13:57-04:00"
"28","/content/dispatches/no-more-prayers-gun-violence","http://americamagazine.org/content/dispatches/no-more-prayers-gun-violence",NA,"2,787","2,563","0:03:44","1,738","82.91%","71.01%","$0.00","Could we all please stop tweeting “I’ll pray for you” about gun violence?","2016-06-13T11:33:39-04:00"
"29","/sections/archives","http://americamagazine.org/sections/archives",NA,"2,682","1,786","0:00:14","457","12.91%","6.97%","$0.00","Previous Issues",NA
"30","/sections/blogs","http://americamagazine.org/sections/blogs",NA,"2,574","2,132","0:02:30","1,255","70.97%","49.65%","$0.00","Blogs",NA
"31","/issue/marriage-life-pope-francis-says","http://americamagazine.org/issue/marriage-life-pope-francis-says",NA,"2,444","2,325","0:05:19","2,097","89.05%","88.22%","$0.00","Too many couples do not understand marriage is for life, pope says","2016-06-17T09:40:04-04:00"
"32","/pope-interview","http://americamagazine.org/pope-interview",NA,"2,444","2,229","0:07:17","2,141","83.29%","88.05%","$0.00","A Big Heart Open to God: The exclusive interview with Pope Francis","2014-03-12T10:15:58-04:00"
"33","/issue/wham-thump-yahweh","http://americamagazine.org/issue/wham-thump-yahweh",NA,"2,416","2,289","0:03:44","1,997","89.94%","84.89%","$0.00","Wham! Thump! Yahweh! Are your kids ready for ‘The Action Bible’?","2016-06-09T11:03:42-04:00"
"34","/issue/supreme-court-strikes-down-texas-abortion-clinic-regulations","http://americamagazine.org/issue/supreme-court-strikes-down-texas-abortion-clinic-regulations",NA,"2,230","2,122","0:03:28","1,767","91.17%","83.72%","$0.00","Supreme Court strikes down Texas abortion clinic regulations","2016-06-27T10:43:58-04:00"
"35","/content/dispatches/captain-america-not-nazi","http://americamagazine.org/content/dispatches/captain-america-not-nazi",NA,"2,202","2,089","0:06:05","1,872","85.78%","88.78%","$0.00","Captain America Is Not a Nazi (But Why It’s Important that People Think He Is)","2016-06-03T17:10:36-04:00"
"36","/issue/love-and-protect","http://americamagazine.org/issue/love-and-protect",NA,"2,193","2,002","0:05:04","1,801","78.07%","80.53%","$0.00","Archbishop Blase Cupich: Protecting young people is at the core of the church's ministry.","2016-06-22T12:48:51-04:00"
"37","/content/dispatches/pope-francis-prays-full-unity-armenian-apostolic-church","http://americamagazine.org/content/dispatches/pope-francis-prays-full-unity-armenian-apostolic-church",NA,"2,051","1,930","0:05:13","1,716","87.73%","85.67%","$0.00","Pope Francis Prays for Full Unity with Armenian Apostolic Church","2016-06-26T09:00:09-04:00"
"38","/opus-dei","http://americamagazine.org/opus-dei",NA,"2,033","1,924","0:12:17","1,922","88.79%","93.51%","$0.00","Opus Dei in the United States","2012-12-12T20:34:19-05:00"
