Page,URL,og:title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/opus-dei,http://americamagazine.org/opus-dei,,"2,033","1,924",0:12:17,"1,922",88.79%,93.51%,$0.00
/content/dispatches/killing-not-caring-californias-assisted-suicide-law-goes-effect,http://americamagazine.org/content/dispatches/killing-not-caring-californias-assisted-suicide-law-goes-effect,,"1,979","1,854",0:05:57,"1,529",68.16%,82.06%,$0.00
/content/all-things/pope-francis-and-theology-failure-12-questions-john-navone-sj,http://americamagazine.org/content/all-things/pope-francis-and-theology-failure-12-questions-john-navone-sj,,"1,978","1,771",0:08:15,"1,267",59.38%,74.32%,$0.00
/archives/2016,http://americamagazine.org/archives/2016,,"1,952","1,225",0:00:14,46,36.17%,6.71%,$0.00
/things,http://americamagazine.org/things,,"1,920","1,507",0:00:59,839,57.83%,38.28%,$0.00
/issue/636/article/what-divides-orthodox-and-catholics,http://americamagazine.org/issue/636/article/what-divides-orthodox-and-catholics,,"1,899","1,814",0:08:39,"1,814",92.95%,94.84%,$0.00
/sections/pope-francis-homilies,http://americamagazine.org/sections/pope-francis-homilies,,"1,855","1,455",0:01:03,"1,250",67.76%,59.25%,$0.00
/content/all-things/white-crime-campus-and-white-collar-crime,http://americamagazine.org/content/all-things/white-crime-campus-and-white-collar-crime,,"1,760","1,605",0:05:28,"1,110",75.96%,70.68%,$0.00
/content/the-word/christian-freedom,http://americamagazine.org/content/the-word/christian-freedom,,"1,755","1,547",0:02:27,732,84.58%,58.01%,$0.00
/content/dispatches/pope-francis-comments-brexit-and-colombian-peace-accord,http://americamagazine.org/content/dispatches/pope-francis-comments-brexit-and-colombian-peace-accord,,"1,703","1,659",0:02:48,"1,551",92.27%,91.25%,$0.00
/issue/abolitionist,http://americamagazine.org/issue/abolitionist,,"1,691","1,596",0:03:20,"1,466",89.57%,86.64%,$0.00
/content/the-word/welcome-sinners,http://americamagazine.org/content/the-word/welcome-sinners,,"1,671","1,522",0:02:33,785,84.37%,64.39%,$0.00
/opinion,http://americamagazine.org/opinion,,"1,651","1,449",0:03:19,669,78.29%,47.61%,$0.00
/content/all-things/tridentine-mass-why-i-couldnt-go-back,http://americamagazine.org/content/all-things/tridentine-mass-why-i-couldnt-go-back,,"1,640","1,505",0:05:25,"1,497",87.26%,89.21%,$0.00
/issue/feminist-case-against-abortion,http://americamagazine.org/issue/feminist-case-against-abortion,,"1,540","1,426",0:08:08,"1,418",91.54%,91.69%,$0.00
/content/dispatches/call-national-jesuit-campaign-gun-control,http://americamagazine.org/content/dispatches/call-national-jesuit-campaign-gun-control,,"1,521","1,349",0:05:12,890,75.64%,69.89%,$0.00
/issue/kansas-city-bishop-apologizes-betrayal-sexual-abuse,http://americamagazine.org/issue/kansas-city-bishop-apologizes-betrayal-sexual-abuse,,"1,499","1,394",0:08:54,"1,368",80.38%,90.46%,$0.00
